RUBRO;Centro Gestor;Nombre Centro Gestor;BP;Nombre del Proyecto;Programa;Nombre de la actividad;BPIN;SECTOR;PROGRAMA;PRODUCTO;PRODUCTO 1;VALIDADOR CUIPO;Fondo 1;Nombre de fondo;Clasificación del fondo;Pospre 1;Pospre 1;Dimensión;Nombre de Dimensión;Línea Estratégica;Nombre de Línea Estratégica;Programa;Nombre de Programa;Area Funcional;Nombre del Area Funcional;Origen;COMUNA;VIGENCIA;TIPO DE GASTO; PPTO INICIAL ; REDUCCIONES ; ADICIONES ; CONTRACREDITOS ; CREDITOS ; APLAZAMIENTO ; DESAPLAZAMIENTO ; PPTO. MODIFICADO ; TOTAL ACUMULADO CDP ; TOTAL ACUMULADO RPC ; TOTAL ACUMUL OBLIGAC ; PAGOS ; EJECUCION ; SALDOS CDP ; PPTO. DISPONIBLE 
411212100054010020001BP2600267810201092-320202008;4112;Secretaría de Gobierno;BP26002678;Implementación de un modelo de agencia de cooperación en Santiago de  Cali;BP260026781020109;Realizar el acompañamiento a los ejercicios de Cooperación Internacional que beneficien al distrito;2020760010121;45;4599;4599032;4599032;4599032;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5401;Transición hacia Distrito Especial;5401002;Cooperación Técnica para el Desarrollo Distrital  ;54010020001;Modelo de Agencia de Cooperación Técnica implementada;Organismo;SANTIAGO DE CALI;Actual;Inversión; 224.436.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 224.436.000 ; 23.914.000 ; 10.462.000 ; -   ; -   ; 10.462.000 ; 13.452.000 ; 200.522.000 
411212100054010020001BP2600267810201102-320202008;4112;Secretaría de Gobierno;BP26002678;Implementación de un modelo de agencia de cooperación en Santiago de  Cali;BP260026781020110;Apoyar el fortalecimiento de Alianzas y/o Coordinaciones de Cooperación Internacional en el distrito;2020760010121;45;4599;4599032;4599032;4599032;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5401;Transición hacia Distrito Especial;5401002;Cooperación Técnica para el Desarrollo Distrital  ;54010020001;Modelo de Agencia de Cooperación Técnica implementada;Organismo;SANTIAGO DE CALI;Actual;Inversión; 290.296.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 290.296.000 ; 163.338.000 ; 10.462.000 ; -   ; -   ; 10.462.000 ; 152.876.000 ; 126.958.000 
411212100054010020001BP2600267810201112-320202008;4112;Secretaría de Gobierno;BP26002678;Implementación de un modelo de agencia de cooperación en Santiago de  Cali;BP260026781020111;Acompañar el  fortalecimiento en la formulación de proyectos de cooperación técnica y/o financiera para la gestión de recursos;2020760010121;45;4599;4599032;4599032;4599032;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5401;Transición hacia Distrito Especial;5401002;Cooperación Técnica para el Desarrollo Distrital  ;54010020001;Modelo de Agencia de Cooperación Técnica implementada;Organismo;SANTIAGO DE CALI;Actual;Inversión; 185.268.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 185.268.000 ; 50.348.000 ; 11.540.000 ; -   ; -   ; 11.540.000 ; 38.808.000 ; 134.920.000 
411212100054020010002BP2600311010101032-320202008;4112;Secretaría de Gobierno;BP26003110;Implementación de iniciativas institucionales para enfrentar problemáticas de manera colaborativa en Santiago de  Cali;BP260031101010103;Implementar iniciativas para la Transparencia, Participación y la Rendición de Cuentas en las áreas de política / sectores priorizados.;2021760010223;45;4599;4599029;4599029;4599029;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010002;Iniciativas frente a problemáticas priorizadas, co-creadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 140.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 140.000.000 ; 12.419.000 ; 9.840.000 ; 3.280.000 ; -   ; 9.840.000 ; 2.579.000 ; 127.581.000 
411212100054020010002BP2600311010101042-320202008;4112;Secretaría de Gobierno;BP26003110;Implementación de iniciativas institucionales para enfrentar problemáticas de manera colaborativa en Santiago de  Cali;BP260031101010104;Formar agentes institucionales y sociales sobre pilares de transparencia.;2021760010223;45;4599;4599029;4599029;4599029;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010002;Iniciativas frente a problemáticas priorizadas, co-creadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 25.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 25.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 25.000.000 
411212100054020010002BP2600311010201022-320202008;4112;Secretaría de Gobierno;BP26003110;Implementación de iniciativas institucionales para enfrentar problemáticas de manera colaborativa en Santiago de  Cali;BP260031101020102;Desarrollar ejercicios de cocreacion y priorización de soluciones a problemáticas priorizadas.;2021760010223;45;4599;4599029;4599029;4599029;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010002;Iniciativas frente a problemáticas priorizadas, co-creadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 122.650.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 122.650.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 122.650.000 
411212100054020010002BP2600311010201032-320202008;4112;Secretaría de Gobierno;BP26003110;Implementación de iniciativas institucionales para enfrentar problemáticas de manera colaborativa en Santiago de  Cali;BP260031101020103;Difundir soluciones realizadas.;2021760010223;45;4599;4599029;4599029;4599029;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010002;Iniciativas frente a problemáticas priorizadas, co-creadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 30.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 30.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 30.000.000 
411212100054020010002BP2600311010201042-320202008;4112;Secretaría de Gobierno;BP26003110;Implementación de iniciativas institucionales para enfrentar problemáticas de manera colaborativa en Santiago de  Cali;BP260031101020104;Promover acciones para medir impacto.;2021760010223;45;4599;4599029;4599029;4599029;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010002;Iniciativas frente a problemáticas priorizadas, co-creadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 22.350.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 22.350.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 22.350.000 
411212100054020010003BP2600311110101012-320202008;4112;Secretaría de Gobierno;BP26003111;Implementación de iniciativas colaborativas para seguimiento a problemas específicos en Santiago de  Cali;BP260031111010101;Realizar diagnóstico de los procesos, proyectos o problemáticas a transparentar a los que se va a realizar seguimiento y monitoreo.;2021760010224;45;4599;4599020;4599020;4599020;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010003;Iniciativas colaborativas para seguimiento a problemas específicos, realizadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 57.541.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 57.541.000 ; 17.310.000 ; 17.310.000 ; 11.540.000 ; 5.770.000 ; 17.310.000 ; -   ; 40.231.000 
411212100054020010003BP2600311110101022-320202008;4112;Secretaría de Gobierno;BP26003111;Implementación de iniciativas colaborativas para seguimiento a problemas específicos en Santiago de  Cali;BP260031111010102;Realizar seguimiento colaborativo a las áreas de política identificadas (datos abiertos, situado fiscal territorial, género, medio ambiente, contratación abierta).;2021760010224;45;4599;4599020;4599020;4599020;121000;Ingresos corrientes de Libre Destinación;Libre destinación (Recursos Propios);2-320202008;Servicios prestados a las empresas y servicios de producción ;54;Cali, Gobierno Incluyente;5402;Gobierno Inteligente;5402001;Fortalecimiento Institucional;54020010003;Iniciativas colaborativas para seguimiento a problemas específicos, realizadas;Organismo;SANTIAGO DE CALI;Actual;Inversión; 57.541.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 57.541.000 ; 15.693.000 ; 15.693.000 ; 10.462.000 ; 5.231.000 ; 15.693.000 ; -   ; 41.848.000 
