 Centro Gestor ; Nombre Centro Gestor ; Area Funcional ; Nombre Area Funcional ; Propósito ; Nombre Propósito ; Reto ; Nombre Reto ; Programa ; Nombre Programa ; BPIN ; BP ; Nombre Proyecto ; Programa Presupuestal ; Nombre Actividad ; Pospre ; Nombre Pospre ; Fondo ; Nombre fondo ; Origen ; COMUNA ; VIGENCIA ; TIPO DE GASTO ; PPTO INICIAL ; REDUCCIONES ; ADICIONES ; CONTRACREDITOS ; CREDITOS ; APLAZAMIENTO ; DESAPLAZAMIENTO ; PPTO. MODIFICADO ; TOTAL ACUMULADO CDP ; TOTAL ACUMULADO RPC ; TOTAL ACUMUL OBLIGAC ; PAGOS ; EJECUCION ; SALDOS CDP ; PPTO. DISPONIBLE ; Clasificación del fondo 1 
4112;Secretaría de Gobierno;63010020001;Entidades u organismos asistidos técnicamente para disminuir los riesgos de corrupción y promover una cultura de probidad;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921010101;Diseñar herramientas, lineamientos planes de trabajo y procedimientos encaminados a prevenir y mitigar riesgos de corrupción;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 44.893.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 44.893.000 ; 37.625.000 ; 37.625.000 ; 7.525.000 ; 7.525.000 ; 37.625.000 ; -   ; 7.268.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020001;Entidades u organismos asistidos técnicamente para disminuir los riesgos de corrupción y promover una cultura de probidad;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921010102;Realizar acciones de apropiación y socialización de los lineamientos y procedimientos establecidos;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 292.188.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 292.188.000 ; 45.150.000 ; 45.150.000 ; -   ; -   ; 45.150.000 ; -   ; 247.038.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020001;Entidades u organismos asistidos técnicamente para disminuir los riesgos de corrupción y promover una cultura de probidad;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921010103;Evaluar y realizar seguimiento periódico de los lineamientos emitidos;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 170.021.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 170.021.000 ; 103.442.000 ; 103.442.000 ; 16.186.000 ; 16.186.000 ; 103.442.000 ; -   ; 66.579.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010101;Realizar la planeación y seguimiento a las actividades que permitan la recolección de información de las diferentes fuentes de la Administración Central Municipal y externas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 772.068.600 ; -   ; -   ; -   ; -   ; -   ; -   ; 772.068.600 ; 141.162.000 ; 141.162.000 ; 18.949.000 ; 4.620.000 ; 141.162.000 ; -   ; 630.906.600 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010102;Recopilar, clasificar y analizar la información de las diferentes fuentes de la Administración Central Municipal y externas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 1.029.050.820 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.029.050.820 ; 284.392.500 ; 284.392.500 ; 23.997.500 ; 12.480.000 ; 284.392.500 ; -   ; 744.658.320 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010103;Realizar acciones para la elaboración de piezas comunicativas institucionales;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 428.063.580 ; -   ; -   ; -   ; -   ; -   ; -   ; 428.063.580 ; 18.777.000 ; 18.777.000 ; 1.707.000 ; 1.707.000 ; 18.777.000 ; -   ; 409.286.580 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010104;Realizar apoyo a los organismos en actividades para la realización de piezas comunicativas específicas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 160.528.500 ; -   ; -   ; -   ; -   ; -   ; -   ; 160.528.500 ; 45.742.500 ; 45.742.500 ; 3.049.500 ; 3.049.500 ; 45.742.500 ; -   ; 114.786.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010105;Realizar impresión y producción de piezas comunicativas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 50.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 50.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 50.000.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010106;Difundir en medios de comunicación masivos;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 2.937.089.345 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.937.089.345 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.937.089.345 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010107;Suministrar apoyo logístico en la planeación y desarrollo de los espacios institucionales que realiza el Despacho del Alcalde y los organismos de la Administración;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 156.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 156.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 156.000.000 ;Recursos Propios de Libre Destinación
