Centro Gestor;Nombre Centro Gestor;Area Funcional;Nombre Area Funcional;Propósito;Nombre Propósito;Reto;Nombre Reto;Programa;Nombre Programa;BPIN;BP;Nombre BP;Programa Presupuestal;Nombre Actividad; Pospre ; Nombre Pospre ; Fondo ; Nombre Fondo  ; Origen ; COMUNA ; VIGENCIA ; TIPO DE GASTO ; PPTO INICIAL ; REDUCCIONES ; ADICIONES ; CONTRACREDITOS ; CREDITOS ; APLAZAMIENTO ; DESAPLAZAMIENTO ; PPTO. MODIFICADO ; TOTAL ACUMULADO CDP ; TOTAL ACUMULADO RPC ; TOTAL ACUMUL OBLIGAC ; PAGOS ; EJECUCION ; SALDOS CDP ; PPTO. DISPONIBLE ; Clasificación del fondo 1 
4112;Secretaría de Gobierno;63020010001;Estrategia de acción internacional implementada;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010327;BP26005266;Implementación de la Estrategia de Acción Internacional de Santiago de  Cali;BP260052661010101;Posicionar a Santiago de Cali a nivel internacional;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 376.411.920 ; -   ; -   ; -   ; -   ; -   ; -   ; 376.411.920 ; 236.370.000 ; 236.370.000 ; 44.130.000 ; 34.155.000 ; 236.370.000 ; -   ; 140.041.920 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63020010001;Estrategia de acción internacional implementada;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010327;BP26005266;Implementación de la Estrategia de Acción Internacional de Santiago de  Cali;BP260052661010102;Realizar el acompañamiento en la consecución de recursos financieros y técnicos de cooperación internacional;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 619.475.050 ; -   ; -   ; -   ; -   ; -   ; -   ; 619.475.050 ; 447.203.000 ; 447.203.000 ; 130.662.000 ; 130.662.000 ; 447.203.000 ; -   ; 172.272.050 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63020010001;Estrategia de acción internacional implementada;63;Cali con Buen Gobierno;6302;Gestión pública para los ciudadanos;6302001;Fortalecimiento institucional;2024760010327;BP26005266;Implementación de la Estrategia de Acción Internacional de Santiago de  Cali;BP260052661010103;Fortalecer la capacidad para el desarrollo de la acción internacional en los organismos de la Alcaldía de Cali;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 235.325.225 ; -   ; -   ; -   ; -   ; -   ; -   ; 235.325.225 ; 87.246.000 ; 87.246.000 ; 34.527.000 ; 34.527.000 ; 87.246.000 ; -   ; 148.079.225 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010101;Realizar la planeación y seguimiento a las actividades que permitan la recolección de información de las diferentes fuentes de la Administración Central Municipal y externas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 772.068.600 ; -   ; -   ; -   ; -   ; -   ; -   ; 772.068.600 ; 463.799.500 ; 463.799.500 ; 200.128.500 ; 200.128.500 ; 463.799.500 ; -   ; 308.269.100 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010102;Recopilar, clasificar y analizar la información de las diferentes fuentes de la Administración Central Municipal y externas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 1.029.050.820 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.029.050.820 ; 706.554.000 ; 706.554.000 ; 320.635.000 ; 317.950.000 ; 706.554.000 ; -   ; 322.496.820 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010103;Realizar acciones para la elaboración de piezas comunicativas institucionales;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 428.063.580 ; -   ; -   ; -   ; -   ; -   ; -   ; 428.063.580 ; 246.348.000 ; 246.348.000 ; 106.764.000 ; 106.764.000 ; 246.348.000 ; -   ; 181.715.580 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010104;Realizar apoyo a los organismos en actividades para la realización de piezas comunicativas específicas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 160.528.500 ; -   ; -   ; -   ; -   ; -   ; -   ; 160.528.500 ; 124.542.000 ; 124.542.000 ; 47.682.000 ; 47.682.000 ; 124.542.000 ; -   ; 35.986.500 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010105;Realizar impresión y producción de piezas comunicativas;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 50.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 50.000.000 ; 50.000.000 ; 50.000.000 ; -   ; -   ; 50.000.000 ; -   ; -   ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010106;Difundir en medios de comunicación masivos;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 2.937.089.345 ; -   ; -   ; -   ; -   ; -   ; -   ; 2.937.089.345 ; 2.937.089.345 ; 2.937.089.345 ; -   ; -   ; 2.937.089.345 ; -   ; -   ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010107;Suministrar apoyo logístico en la planeación y desarrollo de los espacios institucionales que realiza el Despacho del Alcalde y los organismos de la Administración;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 156.000.000 ; -   ; -   ;-42.131.250 ; -   ; -   ; -   ; 113.868.750 ; 53.868.750 ; -   ; -   ; -   ; -   ; 53.868.750 ; 60.000.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010109;Realizar la adquisición de Paquetes de software para la adecuada operación de contenidos informativos;2-32010100502030101;Paquetes de software;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 30.093.750 ; -   ; -   ; -   ; 42.131.250 ; -   ; -   ; 72.225.000 ; 72.225.000 ; -   ; -   ; -   ; -   ; 72.225.000 ; -   ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020002;Estrategia de comunicación implementada para el mejoramiento de la gestión institucional;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010328;BP26005269;Divulgación de la gestión pública del Distrito de Santiago de Cali;BP260052691010110;Realizar mantenimiento a equipos especializados audiovisuales y digitales;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 5.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 5.000.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 5.000.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020001;Entidades u organismos asistidos técnicamente para disminuir los riesgos de corrupción y promover una cultura de probidad;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921010101;Diseñar herramientas, lineamientos planes de trabajo y procedimientos encaminados a prevenir y mitigar riesgos de corrupción;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 44.893.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 44.893.000 ; 37.625.000 ; 37.625.000 ; 22.575.000 ; 22.575.000 ; 37.625.000 ; -   ; 7.268.000 ;Recursos Propios de Libre Destinación
4112;Secretaría de Gobierno;63010020001;Entidades u organismos asistidos técnicamente para disminuir los riesgos de corrupción y promover una cultura de probidad;63;Cali con Buen Gobierno;6301;Gobierno abierto y transparente;6301002;Gobierno abierto;2024760010060;BP26005292;Fortalecimiento de mecanismos institucionales para la transparencia y lucha contra la corrupción en el Distrito de Santiago de Cali;BP260052921010102;Realizar acciones de apropiación y socialización de los lineamientos y procedimientos establecidos;2-320202008;Servicios prestados a las empresas y servicios de producción ;121000;Ingresos corrientes de Libre Destinación;Organismo;SANTIAGO DE CALI;Actual;Inversión; 292.188.000 ; -   ; -   ; -   ; -   ; -   ; -   ; 292.188.000 ; 45.150.000 ; 45.150.000 ; -   ; -   ; 45.150.000 ; -   ; 247.038.000 ;Recursos Propios de Libre Destinación
